id	redshift	err
PSc110426	0.640000	0.001000
PSc130945	0.260000	0.001000
PSc160214	0.630000	0.001000
PSc000001	0.126000	0.001000
PSc000006	0.230800	0.001000
PSc000010	0.244700	0.001000
PSc000011	0.380000	0.001000
PSc000014	0.136900	0.001000
PSc000034	0.250000	0.001000
PSc000038	0.150000	0.001000
PSc000076	0.260000	0.001000
PSc000091	0.152000	0.001000
PSc000098	0.057000	0.001000
PSc000133	0.244000	0.001000
PSc000137	0.118290	0.001000
PSc000142	0.436000	0.001000
PSc000174	0.244000	0.001000
PSc000190	0.101000	0.001000
PSc000196	0.340000	0.001000
PSc000199	0.370000	0.001000
PSc000202	0.618000	0.001000
PSc000215	0.460000	0.001000
PSc000218	0.093000	0.001000
PSc000220	0.220000	0.001000
PSc000236	0.195000	0.001000
PSc000248	0.183000	0.001000
PSc000420	0.309700	0.001000
PSc010010	0.098410	0.001000
PSc010026	0.031230	0.001000
PSc010043	0.140000	0.001000
PSc010163	0.086000	0.001000
PSc010411	0.074000	0.001000
PSc010454	0.080820	0.001000
PSc020021	0.260000	0.001000
PSc020027	0.126000	0.001000
PSc020075	0.156000	0.001000
PSc020082	0.150000	0.001000
PSc020090	0.409000	0.001000
PSc020096	0.230000	0.001000
PSc020121	0.086000	0.001000
PSc020132	0.150000	0.001000
PSc020176	0.260000	0.001000
PSc020200	0.116000	0.001000
PSc030006	0.510000	0.001000
PSc030010	0.092000	0.001000
PSc030066	0.220000	0.001000
PSc040111	0.369000	0.001000
PSc040137	0.447000	0.001000
PSc040146	0.065000	0.001000
PSc040150	0.381000	0.001000
PSc040166	0.443000	0.001000
PSc040198	0.250000	0.001000
PSc040201	0.279000	0.001000
PSc040301	0.373000	0.001000
PSc040662	0.035000	0.001000
PSc040780	0.231000	0.001000
PSc040782	0.336000	0.001000
PSc050003	0.430000	0.001000
PSc050005	0.530000	0.001000
PSc050044	0.270000	0.001000
PSc050081	0.140000	0.001000
PSc050088	0.241000	0.001000
PSc050201	0.550000	0.001000
PSc050203	0.576000	0.001000
PSc050221	0.530000	0.001000
PSc050251	0.387000	0.001000
PSc050291	0.323000	0.001000
PSc050293	0.360000	0.001000
PSc050296	0.360000	0.001000
PSc050301	0.347000	0.001000
PSc050303	0.331000	0.001000
PSc050577	0.459000	0.001000
PSc050580	0.450000	0.001000
PSc050581	0.333000	0.001000
PSc050596	0.379000	0.001000
PSc050601	0.350000	0.001000
PSc050607	0.443000	0.001000
PSc060230	0.127000	0.001000
PSc060270	0.956000	0.001000
PSc060284	0.064000	0.001000
PSc061196	0.059000	0.001000
PSc070242	0.065000	0.001000
PSc070291	0.132000	0.001000
PSc070763	0.259000	0.001000
PSc070955	0.350000	0.001000
PSc071072	0.141000	0.001000
PSc080064	0.066000	0.001000
PSc080308	0.338000	0.001000
PSc080333	0.269000	0.001000
PSc080646	0.330000	0.001000
PSc080723	0.431000	0.001000
PSc080735	0.635000	0.001000
PSc080762	0.283000	0.001000
PSc080768	0.123000	0.001000
PSc090022	0.909000	0.001000
PSc090034	0.027000	0.001000
PSc090037	0.145000	0.001000
PSc090201	0.510000	0.001000
PSc090245	0.152000	0.001000
PSc090275	0.140000	0.001000
PSc091034	0.184000	0.001000
PSc091040	0.285000	0.001000
PSc091746	0.286000	0.001000
PSc091748	0.148000	0.001000
PSc091869	0.290000	0.001000
PSc100020	0.247000	0.001000
PSc100090	0.172000	0.001000
PSc100101	0.430000	0.001000
PSc100163	0.319000	0.001000
PSc100170	0.074000	0.001000
PSc100206	0.217000	0.001000
PSc100213	0.276000	0.001000
PSc100358	0.360000	0.001000
PSc100405	0.103320	0.001000
PSc110016	0.111000	0.001000
PSc110024	0.511000	0.001000
PSc110030	0.179000	0.001000
PSc110031	0.290000	0.001000
PSc110033	0.210000	0.001000
PSc110034	0.240000	0.001000
PSc110036	0.203000	0.001000
PSc110058	0.300000	0.001000
PSc110405	0.650000	0.001000
PSc110425	0.380000	0.001000
PSc110430	0.420000	0.001000
PSc110431	0.350000	0.001000
PSc110446	0.374000	0.001000
PSc110460	0.200000	0.001000
PSc110468	0.092000	0.001000
PSc110478	0.270000	0.001000
PSc110484	0.510000	0.001000
PSc110536	0.250000	0.001000
PSc110542	0.430000	0.001000
PSc110567	0.220000	0.001000
PSc110716	0.320000	0.001000
PSc110719	0.400000	0.001000
PSc110721	0.570000	0.001000
PSc110734	0.400000	0.001000
PSc120031	0.524000	0.001000
PSc120044	0.480000	0.001000
PSc120067	0.422000	0.001000
PSc120085	0.320000	0.001000
PSc120086	0.400000	0.001000
PSc120094	0.450000	0.001000
PSc120113	0.040000	0.001000
PSc120143	0.174000	0.001000
PSc120175	0.105000	0.001000
PSc120215	0.092000	0.001000
PSc120225	0.105590	0.001000
PSc120228	0.120000	0.001000
PSc120243	0.336000	0.001000
PSc120333	0.240000	0.001000
PSc120336	0.160000	0.001000
PSc120369	0.329000	0.001000
PSc120400	0.350000	0.001000
PSc120419	0.093000	0.001000
PSc120444	0.300000	0.001000
PSc120585	0.250000	0.001000
PSc120586	0.230000	0.001000
PSc130150	0.210000	0.001000
PSc130308	0.081770	0.001000
PSc130327	0.096000	0.001000
PSc130451	0.220000	0.001000
PSc130514	0.105000	0.001000
PSc130755	0.293000	0.001000
PSc130792	0.024000	0.001000
PSc130812	0.282000	0.001000
PSc130816	0.082000	0.001000
PSc130846	0.059000	0.001000
PSc130862	0.330000	0.001000
PSc130913	0.210000	0.001000
PSc130942	0.400000	0.001000
PSc130943	0.300000	0.001000
PSc131014	0.068000	0.001000
PSc131015	0.070000	0.001000
PSc131089	0.055000	0.001000
PSc131094	0.101000	0.001000
PSc140103	0.145000	0.001000
PSc140152	0.210000	0.001000
PSc140181	0.101000	0.001000
PSc140357	0.148000	0.001000
PSc140418	0.191000	0.001000
PSc150249	0.133000	0.001000
PSc150254	0.270000	0.001000
PSc150267	0.209000	0.001000
PSc150381	1.283000	0.001000
PSc150412	0.236000	0.001000
PSc150455	0.064000	0.001000
PSc150457	0.310000	0.001000
PSc150507	0.073000	0.001000
PSc150509	0.300000	0.001000
PSc150522	0.230000	0.001000
PSc150576	0.168000	0.001000
PSc150582	0.116000	0.001000
PSc150692	0.077000	0.001000
PSc151034	0.131880	0.001000
PSc151425	0.328000	0.001000
PSc160039	0.270000	0.001000
PSc160042	0.146000	0.001000
PSc160046	0.106650	0.001000
PSc160066	0.530000	0.001000
PSc160070	0.360000	0.001000
PSc160099	0.100000	0.001000
PSc160103	1.407000	0.001000
PSc160126	0.370000	0.001000
PSc160197	0.360000	0.001000
PSc160198	0.350000	0.001000
PSc160200	0.423000	0.001000
PSc160287	0.510000	0.001000
PSc170078	0.320000	0.001000
PSc170428	0.300000	0.001000
PSc170532	0.107000	0.001000
PSc180166	0.147000	0.001000
PSc180279	1.000000	0.001000
PSc180313	0.510000	0.001000
PSc180561	0.230000	0.001000
PSc190209	0.370000	0.001000
PSc190230	0.140000	0.001000
PSc190237	0.229000	0.001000
PSc190260	0.145000	0.001000
PSc190266	0.052000	0.001000
PSc190299	0.077000	0.001000
PSc190340	0.139570	0.001000
PSc190369	0.052000	0.001000
PSc200079	0.093000	0.001000
PSc300008	0.061000	0.001000
PSc300089	0.188000	0.001000
PSc300105	0.093000	0.001000
PSc300112	0.095000	0.001000
PSc300140	0.218000	0.001000
PSc300179	0.181000	0.001000
PSc300221	0.043000	0.001000
PSc310025	0.158000	0.001000
PSc310026	0.044500	0.001000
PSc310039	0.173000	0.001000
PSc310042	0.240000	0.001000
PSc310051	0.272000	0.001000
PSc310073	0.150000	0.001000
PSc310090	0.345000	0.001000
PSc310091	0.509000	0.001000
PSc310146	0.477000	0.001000
PSc310161	0.254000	0.001000
PSc310188	0.320000	0.001000
PSc310238	0.284000	0.001000
PSc310260	0.510000	0.001000
PSc310359	0.103000	0.001000
PSc320099	0.381000	0.001000
PSc320258	0.342000	0.001000
PSc320347	0.068000	0.001000
PSc320469	0.380000	0.001000
PSc330013	0.123000	0.001000
PSc330022	0.265000	0.001000
PSc330023	0.182000	0.001000
PSc330027	0.059000	0.001000
PSc330040	0.180000	0.001000
PSc330042	0.149000	0.001000
PSc330053	0.175000	0.001000
PSc330064	0.145000	0.001000
PSc330075	0.058000	0.001000
PSc330076	0.233000	0.001000
PSc330083	0.220000	0.001000
PSc330089	0.350000	0.001000
PSc330106	0.370000	0.001000
PSc330107	0.230000	0.001000
PSc330112	0.211000	0.001000
PSc330128	0.322000	0.001000
PSc330143	0.188000	0.001000
PSc330146	0.140000	0.001000
PSc330232	0.132000	0.001000
PSc340169	0.390000	0.001000
PSc340211	0.282000	0.001000
PSc340218	0.163000	0.001000
PSc340222	0.252000	0.001000
PSc340229	0.140000	0.001000
PSc340232	0.152000	0.001000
PSc340242	0.453000	0.001000
PSc340243	0.078000	0.001000
PSc340272	0.192000	0.001000
PSc340276	0.440000	0.001000
PSc340316	0.150000	0.001000
PSc340334	0.300000	0.001000
PSc340337	0.040000	0.001000
PSc340346	0.123000	0.001000
PSc350027	0.310000	0.001000
PSc350047	0.233000	0.001000
PSc350050	0.404000	0.001000
PSc350076	0.098000	0.001000
PSc350078	0.300000	0.001000
PSc350080	0.300000	0.001000
PSc350083	0.384000	0.001000
PSc350092	0.093000	0.001000
PSc350192	0.310000	0.001000
PSc350233	0.168000	0.001000
PSc350235	0.263000	0.001000
PSc350316	0.079000	0.001000
PSc350330	0.042000	0.001000
PSc350374	0.510000	0.001000
PSc350548	0.180000	0.001000
PSc350606	0.350000	0.001000
PSc350607	0.560000	0.001000
PSc350630	0.300000	0.001000
PSc360030	0.285000	0.001000
PSc360112	0.180000	0.001000
PSc360139	0.410000	0.001000
PSc360140	0.230000	0.001000
PSc360145	0.198000	0.001000
PSc360156	0.046000	0.001000
PSc360359	0.473000	0.001000
PSc370066	0.088000	0.001000#here..
PSc370098	0.221000	0.001000
PSc370189	0.130000	0.001000
PSc370286	0.120000	0.001000
PSc370290	0.053500	0.001000
PSc370308	0.200000	0.001000
PSc370329	0.477000	0.001000
PSc370330	0.176000	0.001000
PSc370333	0.075000	0.001000
PSc370344	0.331000	0.001000
PSc370356	0.025000	0.001000
PSc370367	0.470000	0.001000
PSc370369	0.180000	0.001000
PSc370394	0.340000	0.001000
PSc370407	0.079000	0.001000
PSc370428	0.177000	0.001000
PSc370469	0.073000	0.001000
PSc370498	0.260000	0.001000
PSc370519	0.107000	0.001000
PSc370563	0.184000	0.001000
PSc370566	0.071000	0.001000
PSc370589	0.305000	0.001000
PSc370595	0.180000	0.001000
PSc380012	0.167000	0.001000
PSc380014	0.104000	0.001000
PSc380040	0.680000	0.001000
PSc380046	0.090000	0.001000
PSc380056	0.101000	0.001000
PSc380244	0.104000	0.001000
PSc380279	0.180000	0.001000
PSc380318	0.336000	0.001000
PSc380378	0.270000	0.001000
PSc390259	0.120000	0.001000
PSc390264	0.370000	0.001000
PSc390449	0.250000	0.001000
PSc390471	0.292000	0.001000
PSc390627	0.160000	0.001000
PSc390712	0.528000	0.001000
PSc400158	0.096000	0.001000
PSc420100	0.097600	0.001000
PSc420122	0.013700	0.001000
PSc420136	0.286300	0.001000
PSc420159	0.182300	0.001000
PSc420196	0.300000	0.001000
PSc420258	0.276000	0.001000
PSc420352	0.400000	0.001000
PSc420393	0.096000	0.001000
PSc420407	0.250000	0.001000
PSc420414	0.294000	0.001000
PSc420417	0.380000	0.001000
PSc430003	0.330000	0.001000
PSc430004	0.233000	0.001000
PSc430005	0.189000	0.001000
PSc440005	0.306000	0.001000
PSc440008	0.148000	0.001000
PSc440011	0.070500	0.001000
PSc440035	0.044000	0.001000
PSc440039	0.250000	0.001000
PSc440042	0.160000	0.001000
PSc440050	0.287000	0.001000
PSc440066	0.086000	0.001000
PSc440162	0.421000	0.001000
PSc440176	0.522000	0.001000
PSc440202	0.145000	0.001000
PSc440236	0.430000	0.001000
PSc440264	0.300000	0.001000
PSc440285	0.180000	0.001000
PSc440509	0.320000	0.001000
PSc440643	0.190000	0.001000
PSc450008	0.109000	0.001000
PSc450020	0.065000	0.001000
PSc450025	0.680000	0.001000
PSc450082	0.250000	0.001000
PSc450175	0.500000	0.001000
PSc450266	0.193000	0.001000
PSc450284	0.140000	0.001000
PSc450339	0.410000	0.001000
PSc460001	0.148000	0.001000
PSc460003	0.150000	0.001000
PSc460004	0.210000	0.001000
PSc460037	0.303000	0.001000
PSc460064	0.242000	0.001000
PSc460105	0.210000	0.001000
PSc470001	0.094000	0.001000
PSc470005	0.167000	0.001000
PSc470008	0.240000	0.001000
PSc470015	0.338000	0.001000
PSc470041	0.331000	0.001000
PSc470043	0.070000	0.001000
PSc470047	0.188000	0.001000#new
PSc470110	0.346000	0.001000
PSc470232	0.200000	0.001000
PSc470240	0.430000	0.001000
PSc470244	0.360000	0.001000
PSc480058	0.032600	0.001000
PSc480064	0.250000	0.001000
PSc480168	0.080000	0.001000
PSc480464	0.220000	0.001000
PSc480845	0.040000	0.001000
PSc490007	0.054000	0.001000
PSc490008	0.130000	0.001000
PSc490025	0.079000	0.001000
PSc490037	0.422000	0.001000
PSc490521	0.340000	0.001000
PSc490563	0.048000	0.001000
PSc500004	0.250000	0.001000
PSc500012	0.076700	0.001000
PSc500022	0.118900	0.001000
PSc500038	0.118900	0.001000
PSc500057	0.380000	0.001000
PSc500100	0.310000	0.001000
PSc500301	0.326000	0.001000
PSc500332	0.098000	0.001000
PSc500491	0.167000	0.001000
PSc500511	0.334000	0.001000
PSc510082	0.080000	0.001000
PSc510113	0.290000	0.001000
PSc510174	0.062000	0.001000
